"","row","item","version","letter","sentence","sentence_spr","im_jahr","year","future","pp","objnp","qm1","fact","qm2","verb","comma","spillover_verb","name","spillover_pp","full_sentence","condition","list","life_status","yes_F","yes_J","life_mismatch","fact_mismatch","type","created","occupation","file_name"
"371",371,26,101,"d","101d","Im Jahr*1990*werde ich*in dem Film*""Stadt in Angst""*auftreten,*das versicherte*Grace Kelly*den Medien.","Im Jahr","1990","werde ich","in dem","Film","""","Stadt in Angst","""","auftreten",",","das versicherte","Grace Kelly","den Medien.","Im Jahr 1990 werde ich in dem Film ""Stadt in Angst"" auftreten, das versicherte Grace Kelly den Medien.","life-fact mismatch","L5","dead","FALSE","J","mismatch","mismatch","critical","PM","Actors","Grace_Kelly.jpg"
"372",372,26,103,"d","103d","Im Jahr*1955*werde ich*in dem Film*""Kevin - Allein zu Haus""*auftreten,*das versicherte*Kevin Costner*den Medien.","Im Jahr","1955","werde ich","in dem","Film","""","Kevin - Allein zu Haus","""","auftreten",",","das versicherte","Kevin Costner","den Medien.","Im Jahr 1955 werde ich in dem Film ""Kevin - Allein zu Haus"" auftreten, das versicherte Kevin Costner den Medien.","life-fact mismatch","L5","alive","FALSE","J","mismatch","mismatch","critical","PM","Actors","Kevin_Costner.jpg"
"373",373,27,105,"c","105c","Im Jahr*2017*werde ich*das Lied*""The Show must go on""*aufnehmen,*das berichtete*Freddie Mercury*auf einer Aftershowparty.","Im Jahr","2017","werde ich","das","Lied","""","The Show must go on","""","aufnehmen",",","das berichtete","Freddie Mercury","auf einer Aftershowparty.","Im Jahr 2017 werde ich das Lied ""The Show must go on"" aufnehmen, das berichtete Freddie Mercury auf einer Aftershowparty.","life mismatch","L5","dead","FALSE","J","mismatch","match","critical","PM","Musicians","Freddie_Mercury.jpg"
"374",374,27,107,"c","107c","Im Jahr*1991*werde ich*das Lied*""Sign of the Times""*aufnehmen,*das berichtete*Harry Styles*auf einer Aftershowparty.","Im Jahr","1991","werde ich","das","Lied","""","Sign of the Times","""","aufnehmen",",","das berichtete","Harry Styles","auf einer Aftershowparty.","Im Jahr 1991 werde ich das Lied ""Sign of the Times"" aufnehmen, das berichtete Harry Styles auf einer Aftershowparty.","life mismatch","L5","alive","FALSE","J","mismatch","match","critical","PM","Musicians","Harry_Styles.jpg"
"375",375,28,109,"b","109b","Im Jahr*2016*werde ich*das Buch*""Panikherz""*fertigstellen,*das teilte*Simon Beckett*der Presse mit.","Im Jahr","2016","werde ich","das","Buch","""","Panikherz","""","fertigstellen",",","das teilte","Simon Beckett","der Presse mit.","Im Jahr 2016 werde ich das Buch ""Panikherz"" fertigstellen, das teilte Simon Beckett der Presse mit.","fact mismatch","L5","alive","FALSE","J","match","mismatch","critical","PM","Authors","Simon_Beckett.jpg"
"376",376,28,111,"b","111b","Im Jahr*1837*werde ich*das Buch*""Oliver Twist""*fertigstellen,*das teilte*Georg Büchner*der Presse mit.","Im Jahr","1837","werde ich","das","Buch","""","Oliver Twist","""","fertigstellen",",","das teilte","Georg Büchner","der Presse mit.","Im Jahr 1837 werde ich das Buch ""Oliver Twist"" fertigstellen, das teilte Georg Büchner der Presse mit.","fact mismatch","L5","dead","FALSE","J","match","mismatch","critical","PM","Authors","Georg_Büchner.jpg"
"377",377,29,113,"a","113a","Im Jahr*2013*werde ich*das Lied*""Atemlos durch die Nacht""*veröffentlichen,*das äußerte*Helene Fischer*gegenüber interessierten Fans.","Im Jahr","2013","werde ich","das","Lied","""","Atemlos durch die Nacht","""","veröffentlichen",",","das äußerte","Helene Fischer","gegenüber interessierten Fans.","Im Jahr 2013 werde ich das Lied ""Atemlos durch die Nacht"" veröffentlichen, das äußerte Helene Fischer gegenüber interessierten Fans.","full match","L5","alive","FALSE","J","match","match","critical","AP","Musicians","Helene_Fischer.jpg"
"378",378,29,115,"a","115a","Im Jahr*1967*werde ich*das Lied*""Sag mir wo die Blumen sind""*veröffentlichen,*das äußerte*Marlene Dietrich*gegenüber interessierten Fans.","Im Jahr","1967","werde ich","das","Lied","""","Sag mir wo die Blumen sind","""","veröffentlichen",",","das äußerte","Marlene Dietrich","gegenüber interessierten Fans.","Im Jahr 1967 werde ich das Lied ""Sag mir wo die Blumen sind"" veröffentlichen, das äußerte Marlene Dietrich gegenüber interessierten Fans.","full match","L5","dead","FALSE","J","match","match","critical","AP","Musicians","Marlene_Dietrich.jpg"
"379",379,30,118,"d","118d","Im Jahr*2011*werde ich*das Lied*""Love Me Tender""*herausbringen,*das schilderte*Billie Holiday*in einem Interview.","Im Jahr","2011","werde ich","das","Lied","""","Love Me Tender","""","herausbringen",",","das schilderte","Billie Holiday","in einem Interview.","Im Jahr 2011 werde ich das Lied ""Love Me Tender"" herausbringen, das schilderte Billie Holiday in einem Interview.","life-fact mismatch","L5","dead","FALSE","J","mismatch","mismatch","critical","AP","Musicians","Billie_Holiday.jpg"
"380",380,30,120,"d","120d","Im Jahr*1956*werde ich*das Lied*""Bloody Mary""*herausbringen,*das schilderte*Carly Rae Jepsen*in einem Interview.","Im Jahr","1956","werde ich","das","Lied","""","Bloody Mary","""","herausbringen",",","das schilderte","Carly Rae Jepsen","in einem Interview.","Im Jahr 1956 werde ich das Lied ""Bloody Mary"" herausbringen, das schilderte Carly Rae Jepsen in einem Interview.","life-fact mismatch","L5","alive","FALSE","J","mismatch","mismatch","critical","AP","Musicians","Carly_Rae_Jepsen.jpg"
"381",381,31,122,"c","122c","Im Jahr*2010*werde ich*das Lied*""Like A Rolling Stone""*aufnehmen,*das behauptete*Bob Dylan*auf einer Aftershowparty.","Im Jahr","2010","werde ich","das","Lied","""","Like A Rolling Stone","""","aufnehmen",",","das behauptete","Bob Dylan","auf einer Aftershowparty.","Im Jahr 2010 werde ich das Lied ""Like A Rolling Stone"" aufnehmen, das behauptete Bob Dylan auf einer Aftershowparty.","life mismatch","L5","dead","FALSE","J","mismatch","match","critical","AP","Musicians","Bob_Dylan.jpg"
"382",382,31,124,"c","124c","Im Jahr*1965*werde ich*das Lied*""Addicted to you""*aufnehmen,*das behauptete*Shakira*auf einer Aftershowparty.","Im Jahr","1965","werde ich","das","Lied","""","Addicted to you","""","aufnehmen",",","das behauptete","Shakira","auf einer Aftershowparty.","Im Jahr 1965 werde ich das Lied ""Addicted to you"" aufnehmen, das behauptete Shakira auf einer Aftershowparty.","life mismatch","L5","alive","FALSE","J","mismatch","match","critical","AP","Musicians","Shakira.jpg"
"383",383,32,126,"b","126b","Im Jahr*2012*werde ich*in dem Film*""James Bond: Skyfall""*mitspielen,*das verkündete*Jamie Foxx*der Öffentlichkeit.","Im Jahr","2012","werde ich","in dem","Film","""","James Bond: Skyfall","""","mitspielen",",","das verkündete","Jamie Foxx","der Öffentlichkeit.","Im Jahr 2012 werde ich in dem Film ""James Bond: Skyfall"" mitspielen, das verkündete Jamie Foxx der Öffentlichkeit.","fact mismatch","L5","alive","FALSE","J","match","mismatch","critical","PM","Actors","Jamie_Foxx.jpg"
"384",384,32,128,"b","128b","Im Jahr*1962*werde ich*in dem Film*""Lawrence von Arabien""*mitspielen,*das verkündete*Marlon Brando*der Öffentlichkeit.","Im Jahr","1962","werde ich","in dem","Film","""","Lawrence von Arabien","""","mitspielen",",","das verkündete","Marlon Brando","der Öffentlichkeit.","Im Jahr 1962 werde ich in dem Film ""Lawrence von Arabien"" mitspielen, das verkündete Marlon Brando der Öffentlichkeit.","fact mismatch","L5","dead","FALSE","J","match","mismatch","critical","PM","Actors","Marlon_Brando.jpg"
"385",385,33,130,"a","130a","Im Jahr*2001*werde ich*das Buch*""Schiffbruch mit Tiger""*publizieren,*das meinte*Yann Martel*nach einer Lesung.","Im Jahr","2001","werde ich","das","Buch","""","Schiffbruch mit Tiger","""","publizieren",",","das meinte","Yann Martel","nach einer Lesung.","Im Jahr 2001 werde ich das Buch ""Schiffbruch mit Tiger"" publizieren, das meinte Yann Martel nach einer Lesung.","full match","L5","alive","FALSE","J","match","match","critical","PM","Authors","Yann_Martel.jpg"
"386",386,33,132,"a","132a","Im Jahr*1847*werde ich*das Buch*""Grundsätze des Kommunismus""*publizieren,*das meinte*Friedrich Engels*nach einer Lesung.","Im Jahr","1847","werde ich","das","Buch","""","Grundsätze des Kommunismus","""","publizieren",",","das meinte","Friedrich Engels","nach einer Lesung.","Im Jahr 1847 werde ich das Buch ""Grundsätze des Kommunismus"" publizieren, das meinte Friedrich Engels nach einer Lesung.","full match","L5","dead","FALSE","J","match","match","critical","PM","Authors","Friedrich_Engels.jpg"
"387",387,34,133,"d","133d","Im Jahr*2000*werde ich*das Buch*""Alice im Wunderland""*abschließen,*das erzählte*Wilhelm Busch*auf Nachfrage.","Im Jahr","2000","werde ich","das","Buch","""","Alice im Wunderland","""","abschließen",",","das erzählte","Wilhelm Busch","auf Nachfrage.","Im Jahr 2000 werde ich das Buch ""Alice im Wunderland"" abschließen, das erzählte Wilhelm Busch auf Nachfrage.","life-fact mismatch","L5","dead","FALSE","J","mismatch","mismatch","critical","PM","Authors","Wilhelm_Busch.jpg"
"388",388,34,135,"d","135d","Im Jahr*1865*werde ich*das Buch*""Harry Potter und der Feuerkelch""*abschließen,*das erzählte*Dan Brown*auf Nachfrage.","Im Jahr","1865","werde ich","das","Buch","""","Harry Potter und der Feuerkelch","""","abschließen",",","das erzählte","Dan Brown","auf Nachfrage.","Im Jahr 1865 werde ich das Buch ""Harry Potter und der Feuerkelch"" abschließen, das erzählte Dan Brown auf Nachfrage.","life-fact mismatch","L5","alive","FALSE","J","mismatch","mismatch","critical","PM","Authors","Dan_Brown.jpg"
"389",389,35,137,"c","137c","Im Jahr*1996*werde ich*das Buch*""Tote Seelen""*fertigstellen,*das stellte*Nikolai Gogol*in einer Fragerunde fest.","Im Jahr","1996","werde ich","das","Buch","""","Tote Seelen","""","fertigstellen",",","das stellte","Nikolai Gogol","in einer Fragerunde fest.","Im Jahr 1996 werde ich das Buch ""Tote Seelen"" fertigstellen, das stellte Nikolai Gogol in einer Fragerunde fest.","life mismatch","L5","dead","FALSE","J","mismatch","match","critical","PM","Authors","Nikolai_Gogol.jpg"
"390",390,35,139,"c","139c","Im Jahr*1842*werde ich*das Buch*""Game of Thrones""*fertigstellen,*das stellte*George R.R. Martin*in einer Fragerunde fest.","Im Jahr","1842","werde ich","das","Buch","""","Game of Thrones","""","fertigstellen",",","das stellte","George R.R. Martin","in einer Fragerunde fest.","Im Jahr 1842 werde ich das Buch ""Game of Thrones"" fertigstellen, das stellte George R.R. Martin in einer Fragerunde fest.","life mismatch","L5","alive","FALSE","J","mismatch","match","critical","PM","Authors","George_RR_Martin.jpg"
"391",391,36,141,"b","141b","Im Jahr*2009*werde ich*in dem Film*""Star Trek""*zu sehen sein,*das versicherte*Taylor Lautner*einem Reporter.","Im Jahr","2009","werde ich","in dem","Film","""","Star Trek","""","zu sehen sein",",","das versicherte","Taylor Lautner","einem Reporter.","Im Jahr 2009 werde ich in dem Film ""Star Trek"" zu sehen sein, das versicherte Taylor Lautner einem Reporter.","fact mismatch","L5","alive","FALSE","J","match","mismatch","critical","PM","Actors","Taylor_Lautner.jpg"
"392",392,36,143,"b","143b","Im Jahr*1980*werde ich*in dem Film*""Blues Brothers""*zu sehen sein,*das versicherte*Christopher Reeve*einem Reporter.","Im Jahr","1980","werde ich","in dem","Film","""","Blues Brothers","""","zu sehen sein",",","das versicherte","Christopher Reeve","einem Reporter.","Im Jahr 1980 werde ich in dem Film ""Blues Brothers"" zu sehen sein, das versicherte Christopher Reeve einem Reporter.","fact mismatch","L5","dead","FALSE","J","match","mismatch","critical","PM","Actors","Christopher_Reeve.jpg"
"393",393,37,145,"a","145a","Im Jahr*2018*werde ich*das Buch*""12 Rules for Life""*publizieren,*das berichtete*Jordan Peterson*einer Journalistin.","Im Jahr","2018","werde ich","das","Buch","""","12 Rules for Life","""","publizieren",",","das berichtete","Jordan Peterson","einer Journalistin.","Im Jahr 2018 werde ich das Buch ""12 Rules for Life"" publizieren, das berichtete Jordan Peterson einer Journalistin.","full match","L5","alive","FALSE","J","match","match","critical","PM","Authors","Jordan_Peterson.jpg"
"394",394,37,147,"a","147a","Im Jahr*1844*werde ich*das Buch*""Die drei Musketiere""*publizieren,*das berichtete*Alexandre Dumas*einer Journalistin.","Im Jahr","1844","werde ich","das","Buch","""","Die drei Musketiere","""","publizieren",",","das berichtete","Alexandre Dumas","einer Journalistin.","Im Jahr 1844 werde ich das Buch ""Die drei Musketiere"" publizieren, das berichtete Alexandre Dumas einer Journalistin.","full match","L5","dead","FALSE","J","match","match","critical","PM","Authors","Alexandre_Dumas.jpg"
"395",395,38,150,"d","150d","Im Jahr*2003*werde ich*das Lied*""Hello""*veröffentlichen,*das teilte*Jimi Hendrix*einer Nachrichtenagentur mit.","Im Jahr","2003","werde ich","das","Lied","""","Hello","""","veröffentlichen",",","das teilte","Jimi Hendrix","einer Nachrichtenagentur mit.","Im Jahr 2003 werde ich das Lied ""Hello"" veröffentlichen, das teilte Jimi Hendrix einer Nachrichtenagentur mit.","life-fact mismatch","L5","dead","FALSE","J","mismatch","mismatch","critical","AP","Musicians","Jimi_Hendrix.jpg"
"396",396,38,152,"d","152d","Im Jahr*1968*werde ich*das Lied*""Cry Me a River""*veröffentlichen,*das teilte*Beyoncé*einer Nachrichtenagentur mit.","Im Jahr","1968","werde ich","das","Lied","""","Cry Me a River","""","veröffentlichen",",","das teilte","Beyoncé","einer Nachrichtenagentur mit.","Im Jahr 1968 werde ich das Lied ""Cry Me a River"" veröffentlichen, das teilte Beyoncé einer Nachrichtenagentur mit.","life-fact mismatch","L5","alive","FALSE","J","mismatch","mismatch","critical","AP","Musicians","Beyonce.jpg"
"397",397,39,154,"c","154c","Im Jahr*2012*werde ich*das Lied*""My Sweet Lord""*herausbringen,*das äußerte*George Harrison*auf einer Aftershowparty.","Im Jahr","2012","werde ich","das","Lied","""","My Sweet Lord","""","herausbringen",",","das äußerte","George Harrison","auf einer Aftershowparty.","Im Jahr 2012 werde ich das Lied ""My Sweet Lord"" herausbringen, das äußerte George Harrison auf einer Aftershowparty.","life mismatch","L5","dead","FALSE","J","mismatch","match","critical","AP","Musicians","George_Harrison.jpg"
"398",398,39,156,"c","156c","Im Jahr*1970*werde ich*das Lied*""Somebody That I Used to Know""*herausbringen,*das äußerte*Gotye*auf einer Aftershowparty.","Im Jahr","1970","werde ich","das","Lied","""","Somebody That I Used to Know","""","herausbringen",",","das äußerte","Gotye","auf einer Aftershowparty.","Im Jahr 1970 werde ich das Lied ""Somebody That I Used to Know"" herausbringen, das äußerte Gotye auf einer Aftershowparty.","life mismatch","L5","alive","FALSE","J","mismatch","match","critical","AP","Musicians","Gotye.jpg"
"399",399,40,158,"b","158b","Im Jahr*1993*werde ich*das Musikstück*""Bat out of Hell II""*komponieren,*das schilderte*John Williams*der Fachpresse.","Im Jahr","1993","werde ich","das","Musikstück","""","Bat out of Hell II","""","komponieren",",","das schilderte","John Williams","der Fachpresse.","Im Jahr 1993 werde ich das Musikstück ""Bat out of Hell II"" komponieren, das schilderte John Williams der Fachpresse.","fact mismatch","L5","alive","FALSE","J","match","mismatch","critical","PM","Musicians","John_Williams.jpg"
"400",400,40,160,"b","160b","Im Jahr*1869*werde ich*das Musikstück*""Ein Deutsches Requiem""*komponieren,*das schilderte*Richard Wagner*der Fachpresse.","Im Jahr","1869","werde ich","das","Musikstück","""","Ein Deutsches Requiem","""","komponieren",",","das schilderte","Richard Wagner","der Fachpresse.","Im Jahr 1869 werde ich das Musikstück ""Ein Deutsches Requiem"" komponieren, das schilderte Richard Wagner der Fachpresse.","fact mismatch","L5","dead","FALSE","J","match","mismatch","critical","PM","Musicians","Richard_Wagner.jpg"
"401",401,1,2,"b","2b","Im Jahr*2001*werde ich*in dem Film*""A Beautiful Mind""*auftreten,*das behauptete*Emma Watson*in einem Intervew.","Im Jahr","2001","werde ich","in dem","Film","""","A Beautiful Mind","""","auftreten",",","das behauptete","Emma Watson","in einem Intervew.","Im Jahr 2001 werde ich in dem Film ""A Beautiful Mind"" auftreten, das behauptete Emma Watson in einem Intervew.","fact mismatch","L6","alive","FALSE","J","match","mismatch","critical","DP","Actors","Emma_Watson.jpg"
"402",402,1,4,"b","4b","Im Jahr*1939*werde ich*in dem Film*""Opfer einer großen Liebe""*auftreten,*das behauptete*Judy Garland*in einem Intervew.","Im Jahr","1939","werde ich","in dem","Film","""","Opfer einer großen Liebe","""","auftreten",",","das behauptete","Judy Garland","in einem Intervew.","Im Jahr 1939 werde ich in dem Film ""Opfer einer großen Liebe"" auftreten, das behauptete Judy Garland in einem Intervew.","fact mismatch","L6","dead","FALSE","J","match","mismatch","critical","DP","Actors","Judy_Garland.jpg"
"403",403,2,6,"a","6a","Im Jahr*2018*werde ich*das Lied*""This Is America""*aufnehmen,*das verkündete*Childish Gambino*gegenüber der Presse.","Im Jahr","2018","werde ich","das","Lied","""","This Is America","""","aufnehmen",",","das verkündete","Childish Gambino","gegenüber der Presse.","Im Jahr 2018 werde ich das Lied ""This Is America"" aufnehmen, das verkündete Childish Gambino gegenüber der Presse.","full match","L6","alive","FALSE","J","match","match","critical","DP","Musicians","Childish_Gambino.png"
"404",404,2,8,"a","8a","Im Jahr*1982*werde ich*das Lied*""Thriller""*aufnehmen,*das verkündete*Michael Jackson*gegenüber der Presse.","Im Jahr","1982","werde ich","das","Lied","""","Thriller","""","aufnehmen",",","das verkündete","Michael Jackson","gegenüber der Presse.","Im Jahr 1982 werde ich das Lied ""Thriller"" aufnehmen, das verkündete Michael Jackson gegenüber der Presse.","full match","L6","dead","FALSE","J","match","match","critical","DP","Musicians","Michael_Jackson.png"
"405",405,3,9,"d","9d","Im Jahr*1997*werde ich*in dem Film*""...denn sie wissen nicht, was sie tun""*mitspielen,*das meinte*Clark Gable*zu einem Reporter.","Im Jahr","1997","werde ich","in dem","Film","""","...denn sie wissen nicht, was sie tun","""","mitspielen",",","das meinte","Clark Gable","zu einem Reporter.","Im Jahr 1997 werde ich in dem Film ""... denn sie wissen nicht"" mitspielen, das meinte Clark Gable zu einem Reporter.","life-fact mismatch","L6","dead","FALSE","J","mismatch","mismatch","critical","DP","Actors","Clark_Gable.jpg"
"406",406,3,11,"d","11d","Im Jahr*1940*werde ich*in dem Film*""Batman & Robin""*mitspielen,*das meinte*Mike Myers*zu einem Reporter.","Im Jahr","1940","werde ich","in dem","Film","""","Batman & Robin","""","mitspielen",",","das meinte","Mike Myers","zu einem Reporter.","Im Jahr 1940 werde ich in dem Film ""Batman & Robin"" mitspielen, das meinte Mike Myers zu einem Reporter.","life-fact mismatch","L6","alive","FALSE","J","mismatch","mismatch","critical","DP","Actors","Mike_Myers.jpg"
"407",407,4,13,"c","13c","Im Jahr*1977*werde ich*das Buch*""Ein Zimmer für sich allein""*schreiben,*das erzählte*Virginia Woolf*einer Tageszeitung.","Im Jahr","1977","werde ich","das","Buch","""","Ein Zimmer für sich allein","""","schreiben",",","das erzählte","Virginia Woolf","einer Tageszeitung.","Im Jahr 1977 werde ich das Buch ""Ein Zimmer für sich allein"" schreiben, das erzählte Virginia Woolf einer Tageszeitung.","life mismatch","L6","dead","FALSE","J","mismatch","match","critical","DP","Authors","Virginia_Woolf.jpg"
"408",408,4,15,"c","15c","Im Jahr*1929*werde ich*das Buch*""Shining""*schreiben,*das erzählte*Stephen King*einer Tageszeitung.","Im Jahr","1929","werde ich","das","Buch","""","Shining","""","schreiben",",","das erzählte","Stephen King","einer Tageszeitung.","Im Jahr 1929 werde ich das Buch ""Shining"" schreiben, das erzählte Stephen King einer Tageszeitung.","life mismatch","L6","alive","FALSE","J","mismatch","match","critical","DP","Authors","Stephen_King.jpg"
"409",409,5,17,"b","17b","Im Jahr*2000*werde ich*in dem Film*""Titanic""*zu sehen sein,*das stellte*Uma Thurmann*in einem Interview fest.","Im Jahr","2000","werde ich","in dem","Film","""","Titanic","""","zu sehen sein",",","das stellte","Uma Thurmann","in einem Interview fest.","Im Jahr 2000 werde ich in dem Film ""Titanic"" zu sehen sein, das stellte Uma Thurmann in einem Interview fest.","fact mismatch","L6","alive","FALSE","J","match","mismatch","critical","DP","Actors","Uma_Thurman.jpg"
"410",410,5,19,"b","19b","Im Jahr*1959*werde ich*in dem Film*""Vertigo""*zu sehen sein,*das stellte*Marilyn Monroe*in einem Interview fest.","Im Jahr","1959","werde ich","in dem","Film","""","Vertigo","""","zu sehen sein",",","das stellte","Marilyn Monroe","in einem Interview fest.","Im Jahr 1959 werde ich in dem Film ""Vertigo"" zu sehen sein, das stellte Marilyn Monroe in einem Interview fest.","fact mismatch","L6","dead","FALSE","J","match","mismatch","critical","DP","Actors","Marilyn_Monroe.jpg"
"411",411,6,21,"a","21a","Im Jahr*2004*werde ich*bei dem Film*""Shaun of the Dead""*Regie führen,*das versicherte*Edgar Wright*einem Reporter.","Im Jahr","2004","werde ich","bei dem","Film","""","Shaun of the Dead","""","Regie führen",",","das versicherte","Edgar Wright","einem Reporter.","Im Jahr 2004 werde ich bei dem Film ""Shaun of the Dead"" Regie führen, das versicherte Edgar Wright einem Reporter.","full match","L6","alive","FALSE","J","match","match","critical","PM","Directors","Edgar_Wright.jpg"
"412",412,6,23,"a","23a","Im Jahr*1960*werde ich*bei dem Film*""Psycho""*Regie führen,*das versicherte*Alfred Hitchcock*einem Reporter.","Im Jahr","1960","werde ich","bei dem","Film","""","Psycho","""","Regie führen",",","das versicherte","Alfred Hitchcock","einem Reporter.","Im Jahr 1960 werde ich bei dem Film ""Psycho"" Regie führen, das versicherte Alfred Hitchcock einem Reporter.","full match","L6","dead","FALSE","J","match","match","critical","PM","Directors","Alfred_Hitchcock.jpg"
"413",413,7,26,"d","26d","Im Jahr*2020*werde ich*das Turnier im*""Autorennen""*gewinnen,*das berichtete*Muhammad Ali*einer Nachrichtenagentur.","Im Jahr","2020","werde ich","das","Turnier im","""","Autorennen","""","gewinnen",",","das berichtete","Muhammad Ali","einer Nachrichtenagentur.","Im Jahr 2020 werde ich das Turnier im ""Autorennen"" gewinnen, das berichtete Muhammad Ali einer Nachrichtenagentur.","life-fact mismatch","L6","dead","FALSE","J","mismatch","mismatch","critical","PM","Athletes","Muhammad_Ali.jpg"
"414",414,7,28,"d","28d","Im Jahr*1975*werde ich*das Turnier im*""Tennis""*gewinnen,*das berichtete*Lionel Messi*einer Nachrichtenagentur.","Im Jahr","1975","werde ich","das","Turnier im","""","Tennis","""","gewinnen",",","das berichtete","Lionel Messi","einer Nachrichtenagentur.","Im Jahr 1975 werde ich das Turnier im ""Tennis"" gewinnen, das berichtete Lionel Messi einer Nachrichtenagentur.","life-fact mismatch","L6","alive","FALSE","J","mismatch","mismatch","critical","PM","Athletes","Lionel_Messi.jpg"
"415",415,8,30,"c","30c","Im Jahr*2019*werde ich*in dem Film*""Der Kardinal""*auftreten,*das teilte*Romy Schneider*einer Journalistin mit.","Im Jahr","2019","werde ich","in dem","Film","""","Der Kardinal","""","auftreten",",","das teilte","Romy Schneider","einer Journalistin mit.","Im Jahr 2019 werde ich in dem Film ""Der Kardinal"" auftreten, das teilte Romy Schneider einer Journalistin mit.","life mismatch","L6","dead","FALSE","J","mismatch","match","critical","AP","Actors","Romy_Schneider.jpg"
"416",416,8,32,"c","32c","Im Jahr*1963*werde ich*in dem Film*""Joker""*auftreten,*das teilte*Joaquin Phoenix*einer Journalistin mit.","Im Jahr","1963","werde ich","in dem","Film","""","Joker","""","auftreten",",","das teilte","Joaquin Phoenix","einer Journalistin mit.","Im Jahr 1963 werde ich in dem Film ""Joker"" auftreten, das teilte Joaquin Phoenix einer Journalistin mit.","life mismatch","L6","alive","FALSE","J","mismatch","match","critical","AP","Actors","Joaquin_Phoenix.jpg"
"417",417,9,34,"b","34b","Im Jahr*1990*werde ich*in dem Film*""Edward mit den Scherenhänden""*mitspielen,*das äußerte*Julia Roberts*gegenüber den Medien.","Im Jahr","1990","werde ich","in dem","Film","""","Edward mit den Scherenhänden","""","mitspielen",",","das äußerte","Julia Roberts","gegenüber den Medien.","Im Jahr 1990 werde ich in dem Film ""Edward mit den Scherenhänden"" mitspielen, das äußerte Julia Roberts gegenüber den Medien.","fact mismatch","L6","alive","FALSE","J","match","mismatch","critical","AP","Actors","Julia_Roberts.jpg"
"418",418,9,36,"b","36b","Im Jahr*1963*werde ich*in dem Film*""Winnetou""*mitspielen,*das äußerte*May Warden*gegenüber den Medien.","Im Jahr","1963","werde ich","in dem","Film","""","Winnetou","""","mitspielen",",","das äußerte","May Warden","gegenüber den Medien.","Im Jahr 1963 werde ich in dem Film ""Winnetou"" mitspielen, das äußerte May Warden gegenüber den Medien.","fact mismatch","L6","dead","FALSE","J","match","mismatch","critical","AP","Actors","May_Warden.jpg"
"419",419,10,38,"a","38a","Im Jahr*2015*werde ich*in dem Film*""Die Tribute von Panem – Mockingjay""*die Hauptrolle spielen,*das schilderte*Jennifer Lawrence*interessierten Fans.","Im Jahr","2015","werde ich","in dem","Film","""","Die Tribute von Panem – Mockingjay","""","die Hauptrolle spielen",",","das schilderte","Jennifer Lawrence","interessierten Fans.","Im Jahr 2015 werde ich in dem Film ""Die Tribute von Panem – Mockingjay"" die Hauptrolle spielen, das schilderte Jennifer Lawrence interessierten Fans.","full match","L6","alive","FALSE","J","match","match","critical","AP","Actors","Jennifer_Lawrence.jpg"
"420",420,10,40,"a","40a","Im Jahr*1940*werde ich*in dem Film*""The Invisible Woman""*die Hauptrolle spielen,*das schilderte*Joan Fontaine*interessierten Fans.","Im Jahr","1940","werde ich","in dem","Film","""","The Invisible Woman","""","die Hauptrolle spielen",",","das schilderte","Joan Fontaine","interessierten Fans.","Im Jahr 1940 werde ich in dem Film ""The Invisible Woman"" die Hauptrolle spielen, das schilderte Joan Fontaine interessierten Fans.","full match","L6","dead","FALSE","J","match","match","critical","AP","Actors","Joan_Fontaine.jpg"
"421",421,11,41,"d","41d","Im Jahr*1998*werde ich*in dem Film*""Psycho""*die Hauptrolle spielen,*das behauptete*Marcello Mastroianni*auf dem roten Teppich.","Im Jahr","1998","werde ich","in dem","Film","""","Psycho","""","die Hauptrolle spielen",",","das behauptete","Marcello Mastroianni","auf dem roten Teppich.","Im Jahr 1998 werde ich in dem Film ""Psycho"" die Hauptrolle spielen, das behauptete Marcello Mastroianni auf dem roten Teppich.","life-fact mismatch","L6","dead","FALSE","J","mismatch","mismatch","critical","AP","Actors","Marcello_Mastroianni.jpg"
"422",422,11,43,"d","43d","Im Jahr*1960*werde ich*in dem Film*""Eine Hochzeit zum Verlieben""*die Hauptrolle spielen,*das behauptete*Franka Potente*auf dem roten Teppich.","Im Jahr","1960","werde ich","in dem","Film","""","Eine Hochzeit zum Verlieben","""","die Hauptrolle spielen",",","das behauptete","Franka Potente","auf dem roten Teppich.","Im Jahr 1960 werde ich in dem Film ""Eine Hochzeit zum Verlieben"" die Hauptrolle spielen, das behauptete Franka Potente auf dem roten Teppich.","life-fact mismatch","L6","alive","FALSE","J","mismatch","mismatch","critical","AP","Actors","Franka_Potente.jpg"
"423",423,12,45,"c","45c","Im Jahr*2020*werde ich*mein Engagement für die*""Bürgerrechtsbewegung""*vorantreiben,*das verkündete*Martin Luther King*auf einer Pressekonferenz.","Im Jahr","2020","werde ich","mein","Engagement für die","""","Bürgerrechtsbewegung","""","vorantreiben",",","das verkündete","Martin Luther King","auf einer Pressekonferenz.","Im Jahr 2020 werde ich mein Engagement für die ""Bürgerrechtsbewegung"" vorantreiben, das verkündete Martin Luther King auf einer Pressekonferenz.","life mismatch","L6","dead","FALSE","J","mismatch","match","critical","PM","Activist","Martin_Luther_King"
